DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 16:02:55.708,13,3.76399,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2055
Mon.May.02.2022 16:02:55.734,13,3.76399,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2056
Mon.May.02.2022 16:02:55.738,13,3.74814,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2056
Mon.May.02.2022 16:02:55.746,13,3.73119,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:55.746,13,3.71316,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:55.860,13,3.69408,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:55.860,13,3.69408,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:55.860,13,3.67397,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:55.876,13,3.65287,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:55.876,13,3.6308,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:55.876,13,3.6078,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:55.876,13,3.58382,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:55.897,13,3.55905,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:55.897,13,3.55905,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:55.897,13,3.53338,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:55.897,13,3.50666,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:55.897,13,3.47951,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:56.018,13,3.45165,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.018,13,3.42311,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.018,13,3.39386,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.018,13,3.36402,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.018,13,3.33373,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.039,13,3.30294,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.039,13,3.2716,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.039,13,3.2716,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.039,13,3.23996,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2056
Mon.May.02.2022 16:02:56.060,13,3.20796,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2057
Mon.May.02.2022 16:02:56.160,13,3.17555,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:56.160,13,3.14299,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:56.176,13,3.14299,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:56.176,13,3.11021,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
